Header,Value
Agency Name,National Aeronautics and Space Administration
Agency Code,NASA
Program,Moderate Resolution Imaging Spectroradiometer (MODIS)
Project,Cockburn Sound Model Virtual Sensor
Tag,NASA-MODIS-POC
Data File Name,MODIS_polygon_5_ParticulateOrganicCarbon_profile_Data.csv
Location,data-warehouse/csv/NASA/modis/poc
Station Status,Active
Lat,-32.5807
Long,115.3899
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,NASA-modis-poc-Ocean_Boundary_Polygon_5
Site Description,Ocean Boundary Polygon 5
Deployment,Floating
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00031
Data Category,Water Quality (Nutrient)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Particulate Organic Carbon
QC,NaN
