Header,Value
Agency Name,Department of Environmental Protection
Agency Code,EPA
Program,Cockburn Sound Monitoring Program
Project,Southern Metropolitan Coastal Waters Study (SMCWS)
Tag,EPA-SMCWS-CS
Data File Name,CS12_T_Ammonium_profile_Data.csv
Location,data-warehouse/csv/epa/smcws
Station Status,Completed
Lat,-32.1917
Long,115.7542
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS12
Site Description,Cockburn Sound Site 1 (surface)
Deployment,Profile
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00025
Data Category,Water Quality (Nutrient)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Ammonium
QC,NaN
