Header,Value
Agency Name,Department of Environmental Protection
Agency Code,EPA
Program,Cockburn Sound Monitoring Program
Project,Southern Metropolitan Coastal Waters Study (SMCWS)
Tag,EPA-SMCWS-CS
Data File Name,CS11_T_TotalPhosphorus_profile_Data.csv
Location,data-warehouse/csv/epa/smcws
Station Status,Completed
Lat,-32.2642
Long,115.71
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS11
Site Description,Cockburn Sound Site 1 (surface)
Deployment,Profile
Deployment Position,m from bottom
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00010
Data Category,Water Quality (Nutrient)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Total Phosphorus
QC,NaN
