Header,Value
Agency Name,Department of Environmental Protection
Agency Code,EPA
Program,Cockburn Sound Monitoring Program
Project,Southern Metropolitan Coastal Waters Study (SMCWS)
Tag,EPA-SMCWS-WS
Data File Name,WS5_M_Chlorophyll-a_profile_Data.csv
Location,data-warehouse/csv/epa/smcws
Station Status,Completed
Lat,-32.3592
Long,115.7083
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,WS5
Site Description,Warnbro Sound Site 5 (mid-depth)
Deployment,Profile
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00014
Data Category,Water Quality (Nutrient)
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Chlorophyll-a
QC,NaN
