time,KD490,ZSD,SPM
1997-09-04,,,
1997-09-05,,,
1997-09-06,,,
1997-09-07,,,
1997-09-08,,,
1997-09-09,,,
1997-09-10,,,
1997-09-11,,,
1997-09-12,,,
1997-09-13,,,
1997-09-14,,,
1997-09-15,,,
1997-09-16,0.042493433,21.903666,0.36871496
1997-09-17,,,
1997-09-18,,,
1997-09-19,,,
1997-09-20,,,
1997-09-21,,,
1997-09-22,0.04392185,21.636917,0.37265533
1997-09-23,0.050548274,17.575537,0.707572
1997-09-24,0.052921485,16.893398,0.57925195
1997-09-25,,,
1997-09-26,,,
1997-09-27,,,
1997-09-28,,,
1997-09-29,,,
1997-09-30,,,
1997-10-01,,,
1997-10-02,,,
1997-10-03,0.05001369,18.050114,0.460743
1997-10-04,0.046916872,19.590189,0.41834235
1997-10-05,0.04696069,19.647434,0.3311703
1997-10-06,,,
1997-10-07,0.052552126,17.269367,1.3307705
1997-10-08,,,
1997-10-09,,,
1997-10-10,0.066711724,12.6951065,3.6527052
1997-10-11,,,
1997-10-12,0.055910688,15.793836,1.0116723
1997-10-13,,,
1997-10-14,,,
1997-10-15,,,
1997-10-16,,,
1997-10-17,,,
1997-10-18,,,
1997-10-19,,,
1997-10-20,,,
1997-10-21,0.03969672,23.604654,0.37440106
1997-10-22,,,
1997-10-23,,,
1997-10-24,,,
1997-10-25,0.042951405,21.501604,0.40433842
1997-10-26,0.041515015,22.330074,0.37137634
1997-10-27,0.039889336,23.496,0.3832906
1997-10-28,0.041083254,22.641338,0.33630693
1997-10-29,,,
1997-10-30,0.04737938,19.263468,0.57790744
1997-10-31,,,
1997-11-01,0.042389326,21.973242,0.47186914
1997-11-02,,,
1997-11-03,0.043006934,21.53701,0.45481667
1997-11-04,,,
1997-11-05,0.043327384,21.276598,0.47192836
1997-11-06,0.04322911,21.30419,0.38653502
1997-11-07,0.045241006,20.157167,0.44582516
1997-11-08,0.043373626,21.224989,0.4697469
1997-11-09,0.044634633,20.587795,0.47147495
1997-11-10,0.042780768,21.552586,0.57995594
1997-11-11,,,
1997-11-12,,,
1997-11-13,,,
1997-11-14,0.045079984,20.10784,0.591622
1997-11-15,,,
1997-11-16,0.043324582,21.19494,0.3968454
1997-11-17,0.04480951,20.433727,0.3960543
1997-11-18,0.04566815,19.883917,0.41125783
1997-11-19,0.042915575,21.365746,0.39803827
1997-11-20,,,
1997-11-21,,,
1997-11-22,,,
1997-11-23,0.04291048,22.359056,0.6581413
1997-11-24,,,
1997-11-25,0.037935898,24.915129,0.4844398
1997-11-26,,,
1997-11-27,,,
1997-11-28,0.038251914,24.808733,1.1727169
1997-11-29,0.042368088,21.73215,0.41221976
1997-11-30,0.03763103,25.318102,0.33437353
1997-12-01,,,
1997-12-02,0.04353443,21.052233,0.5317285
1997-12-03,,,
1997-12-04,0.04280806,21.465462,0.58761257
1997-12-05,,,
1997-12-06,0.04130728,22.46502,0.3912775
1997-12-07,,,
1997-12-08,0.04004089,23.286741,0.33430082
1997-12-09,0.039412957,23.758549,0.31415087
1997-12-10,0.04013214,23.217047,0.5290681
1997-12-11,0.037650164,25.218786,0.3643383
1997-12-12,0.03896206,24.214447,0.33872893
1997-12-13,0.03956601,23.684074,0.380611
