time,KD490,ZSD,SPM
1997-09-04,,,
1997-09-05,,,
1997-09-06,,,
1997-09-07,,,
1997-09-08,,,
1997-09-09,,,
1997-09-10,,,
1997-09-11,,,
1997-09-12,,,
1997-09-13,,,
1997-09-14,,,
1997-09-15,,,
1997-09-16,0.0406898,22.81112,0.35832685
1997-09-17,,,
1997-09-18,,,
1997-09-19,,,
1997-09-20,0.038513407,24.45624,0.43667567
1997-09-21,,,
1997-09-22,0.0430015,21.878939,0.48396337
1997-09-23,0.0400249,23.466125,0.43318146
1997-09-24,0.043465465,21.020985,0.6583077
1997-09-25,,,
1997-09-26,0.051566947,17.10509,4.4297094
1997-09-27,,,
1997-09-28,,,
1997-09-29,,,
1997-09-30,,,
1997-10-01,,,
1997-10-02,,,
1997-10-03,0.045962516,20.035107,0.60003346
1997-10-04,0.049717437,18.545553,0.45025808
1997-10-05,0.0538345,16.694887,0.7532124
1997-10-06,,,
1997-10-07,0.047341127,19.30045,0.8333218
1997-10-08,0.042709947,21.467922,1.1161567
1997-10-09,,,
1997-10-10,0.045392666,19.949759,1.0101492
1997-10-11,,,
1997-10-12,0.04555088,19.867323,0.6465276
1997-10-13,,,
1997-10-14,,,
1997-10-15,,,
1997-10-16,,,
1997-10-17,,,
1997-10-18,,,
1997-10-19,,,
1997-10-20,,,
1997-10-21,0.03991827,23.359804,0.34697828
1997-10-22,,,
1997-10-23,,,
1997-10-24,,,
1997-10-25,0.039137788,24.130835,0.39879397
1997-10-26,0.03939749,23.811281,0.34519377
1997-10-27,,,
1997-10-28,0.0395132,23.71731,0.34528458
1997-10-29,0.03740252,25.384876,0.8464379
1997-10-30,0.04226565,21.81151,0.42750618
1997-10-31,,,
1997-11-01,0.04230144,21.86693,0.36573964
1997-11-02,,,
1997-11-03,0.047550138,18.871914,0.4872693
1997-11-04,,,
1997-11-05,0.046611626,19.291832,4.0585203
1997-11-06,0.042604342,21.600157,0.37215978
1997-11-07,0.045470852,20.066368,0.4580269
1997-11-08,0.04045455,23.038164,0.34020057
1997-11-09,0.045413647,20.797308,0.36834028
1997-11-10,0.040028665,23.357353,0.40986148
1997-11-11,,,
1997-11-12,,,
1997-11-13,,,
1997-11-14,0.040324125,23.178688,0.42260885
1997-11-15,,,
1997-11-16,0.041014347,22.679218,0.3295072
1997-11-17,0.04203012,22.058298,0.31515464
1997-11-18,0.04251664,21.780914,0.3441033
1997-11-19,0.04064317,22.877947,0.3749872
1997-11-20,0.042080153,21.98519,0.55669457
1997-11-21,,,
1997-11-22,,,
1997-11-23,0.057040386,15.176129,1.6519847
1997-11-24,,,
1997-11-25,,,
1997-11-26,,,
1997-11-27,0.044186853,20.881742,0.83634865
1997-11-28,0.037574146,25.451704,0.38492677
1997-11-29,,,
1997-11-30,0.037298735,26.182526,0.38240078
1997-12-01,0.042513512,22.284758,0.41166565
1997-12-02,0.044251673,20.661676,0.3750911
1997-12-03,,,
1997-12-04,,,
1997-12-05,,,
1997-12-06,0.04337779,21.261913,0.41603097
1997-12-07,,,
1997-12-08,0.039127927,24.078943,0.33643937
1997-12-09,0.03762767,25.343763,0.31057164
1997-12-10,0.043350995,21.792147,0.5581027
1997-12-11,0.037426855,25.409863,0.3277915
