Header,Value
Agency Name,Western Australian Marine Science Institution
Agency Code,WAMSI
Program,Westport Marine Science Program (WWMSP5)
Project,Regional Ocean Modelling Systems (ROMS)
Tag,WAMSI-WWMSP5-Perth-ROMS
Data File Name,Perth_ROMS_polygon5_500m_Salinity_profile_Data.csv
Location,data-warehouse/csv/wamsi/wwmsp5/roms/perth_roms_0.5km_2023
Station Status,Active
Lat,-32.5807
Long,115.3899
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,polygon_5
Site Description,Ocean Boundary Polygon 5
Deployment,Profile
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00006
Data Category,Water Quality (PhysChm)
Sampling Rate (min),/day
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Salinity
QC,NaN
