Header,Value
Agency Name,Western Australian Marine Science Institution
Agency Code,WAMSI
Program,Westport Marine Science Program (WWMSP5)
Project,Regional Ocean Modelling Systems (ROMS)
Tag,WAMSI-WWMSP5-WA-ROMS
Data File Name,WA_ROMS_polygon3_2km_Temperature_profile_Data.csv
Location,data-warehouse/csv/wamsi/wwmsp5/roms/wa_roms_2km_2000-2022
Station Status,Active
Lat,-32.0335
Long,115.3217
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,polygon_3
Site Description,Ocean Boundary Polygon 3
Deployment,Profile
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00007
Data Category,Water Quality (PhysChm)
Sampling Rate (min),/day
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Temperature
QC,NaN
