Variable,Date,Depth,QC,Data
analysed_sst,2002-06-01 09:00:00,0,N,20.881
analysed_sst,2002-06-02 09:00:00,0,N,21.157
analysed_sst,2002-06-03 09:00:00,0,N,21.323
analysed_sst,2002-06-04 09:00:00,0,N,21.353
analysed_sst,2002-06-05 09:00:00,0,N,20.872
analysed_sst,2002-06-06 09:00:00,0,N,20.523
analysed_sst,2002-06-07 09:00:00,0,N,20.53
analysed_sst,2002-06-08 09:00:00,0,N,20.392
analysed_sst,2002-06-09 09:00:00,0,N,20.103
analysed_sst,2002-06-10 09:00:00,0,N,20.144
analysed_sst,2002-06-11 09:00:00,0,N,20.581
analysed_sst,2002-06-12 09:00:00,0,N,20.671
analysed_sst,2002-06-13 09:00:00,0,N,20.22
analysed_sst,2002-06-14 09:00:00,0,N,19.799
analysed_sst,2002-06-15 09:00:00,0,N,20.092
analysed_sst,2002-06-16 09:00:00,0,N,20.413
analysed_sst,2002-06-17 09:00:00,0,N,20.447
analysed_sst,2002-06-18 09:00:00,0,N,20.384
analysed_sst,2002-06-19 09:00:00,0,N,20.227
analysed_sst,2002-06-20 09:00:00,0,N,20.079
analysed_sst,2002-06-21 09:00:00,0,N,19.956
analysed_sst,2002-06-22 09:00:00,0,N,20.005
analysed_sst,2002-06-23 09:00:00,0,N,19.918
analysed_sst,2002-06-24 09:00:00,0,N,19.726
analysed_sst,2002-06-25 09:00:00,0,N,19.699
analysed_sst,2002-06-26 09:00:00,0,N,19.469
analysed_sst,2002-06-27 09:00:00,0,N,19.458
analysed_sst,2002-06-28 09:00:00,0,N,19.36
analysed_sst,2002-06-29 09:00:00,0,N,19.154
analysed_sst,2002-06-30 09:00:00,0,N,19.586
analysed_sst,2002-07-01 09:00:00,0,N,19.535
analysed_sst,2002-07-02 09:00:00,0,N,19.53
analysed_sst,2002-07-03 09:00:00,0,N,19.384
analysed_sst,2002-07-04 09:00:00,0,N,19.339
analysed_sst,2002-07-05 09:00:00,0,N,19.382
analysed_sst,2002-07-06 09:00:00,0,N,19.425
analysed_sst,2002-07-07 09:00:00,0,N,18.963
analysed_sst,2002-07-08 09:00:00,0,N,19.024
analysed_sst,2002-07-09 09:00:00,0,N,18.987
analysed_sst,2002-07-10 09:00:00,0,N,18.718
