time,RRS412,RRS443,RRS490,RRS555,RRS670
1997-09-04,,,,,
1997-09-05,,,,,
1997-09-06,,,,,
1997-09-07,,,,,
1997-09-08,,,,,
1997-09-09,,,,,
1997-09-10,,,,,
1997-09-11,,,,,
1997-09-12,,,,,
1997-09-13,,,,,
1997-09-14,,,,,
1997-09-15,,,,,
1997-09-16,0.0022790988,0.0032641417,0.00439065,0.0026974792,0.00015329981
1997-09-17,,,,,
1997-09-18,,,,,
1997-09-19,,,,,
1997-09-20,0.0042085066,0.0049344734,0.0055221734,0.00364267,0.00051509216
1997-09-21,,,,,
1997-09-22,0.0028346886,0.0037156777,0.0051756883,0.003688809,0.00032096458
1997-09-23,0.007034001,0.004480001,0.005010001,0.0030340008,-0.00017799913
1997-09-24,0.0049853013,0.005521658,0.0068083983,0.0054997755,0.0010252913
1997-09-25,,,,,
1997-09-26,,,,,
1997-09-27,0.006038001,0.006604001,0.0077120005,0.0038800007,-1.3999129e-05
1997-09-28,,,,,
1997-09-29,,,,,
1997-09-30,,,,,
1997-10-01,,,,,
1997-10-02,,,,,
1997-10-03,0.0022774844,0.0035537826,0.005286026,0.004202644,0.00016262225
1997-10-04,0.0027184035,0.004195807,0.0053980956,0.003288983,-0.0002736521
1997-10-05,0.0015185709,0.002749429,0.0044132895,0.0031536107,0.00010265535
1997-10-06,,,,,
1997-10-07,0.0042934846,0.004457648,0.0051651453,0.003772808,0.00032671748
1997-10-08,,,,,
1997-10-09,,,,,
1997-10-10,0.011374,0.012152001,0.01302,0.009128001,0.0013920008
1997-10-11,,,,,
1997-10-12,0.005368201,0.007052722,0.00918894,0.007031774,0.0006688232
1997-10-13,,,,,
1997-10-14,,,,,
1997-10-15,,,,,
1997-10-16,,,,,
1997-10-17,,,,,
1997-10-18,,,,,
1997-10-19,,,,,
1997-10-20,,,,,
1997-10-21,0.002812474,0.0038273016,0.004944652,0.0028369166,-0.00010027582
1997-10-22,,,,,
1997-10-23,,,,,
1997-10-24,,,,,
1997-10-25,0.0038636152,0.0049027367,0.0060676835,0.0040152376,0.00012311322
1997-10-26,0.0031118223,0.004076931,0.0050687357,0.0028363462,-6.8171066e-05
1997-10-27,0.004867788,0.005329755,0.0059987092,0.0031903742,0.0001854096
1997-10-28,0.0032217873,0.0044420795,0.005557202,0.0029279257,0.00020510942
1997-10-29,,,,,
1997-10-30,0.004373544,0.0062752143,0.00852827,0.0063075093,0.00069729006
1997-10-31,,,,,
1997-11-01,0.0047572237,0.006207905,0.007930087,0.0053002764,0.00043231496
1997-11-02,,,,,
1997-11-03,0.00378559,0.005518358,0.0073800455,0.0049267584,0.00046066183
1997-11-04,,,,,
1997-11-05,0.0063454113,0.006942902,0.0076058046,0.004521573,0.0006627371
1997-11-06,0.0035162782,0.0049821534,0.0065100556,0.0039346498,0.00027324454
1997-11-07,0.0027515779,0.0047473344,0.0071567204,0.0055211326,0.0002704123
1997-11-08,0.0036411092,0.0053964723,0.006885842,0.004148527,8.315816e-05
1997-11-09,0.0038020858,0.0053554443,0.0067269374,0.003957436,0.00033361482
1997-11-10,0.00925153,0.009212622,0.008644944,0.004645372,0.00096933916
1997-11-11,,,,,
1997-11-12,,,,,
1997-11-13,,,,,
