time,CHL,DIATO,DINO,GREEN,HAPTO,MICRO,NANO,PICO,PROCHLO,PROKAR
1997-09-04,,,,,,,,,,
1997-09-05,,,,,,,,,,
1997-09-06,,,,,,,,,,
1997-09-07,,,,,,,,,,
1997-09-08,,,,,,,,,,
1997-09-09,,,,,,,,,,
1997-09-10,,,,,,,,,,
1997-09-11,,,,,,,,,,
1997-09-12,,,,,,,,,,
1997-09-13,,,,,,,,,,
1997-09-14,,,,,,,,,,
1997-09-15,,,,,,,,,,
1997-09-16,0.6389088,,,,,,,,,
1997-09-17,,,,,,,,,,
1997-09-18,,,,,,,,,,
1997-09-19,,,,,,,,,,
1997-09-20,0.3901042,,,,,,,,,
1997-09-21,,,,,,,,,,
1997-09-22,0.7354147,,,,,,,,,
1997-09-23,0.40145454,,,,,,,,,
1997-09-24,0.73329115,,,,,,,,,
1997-09-25,,,,,,,,,,
1997-09-26,,,,,,,,,,
1997-09-27,0.35067803,,,,,,,,,
1997-09-28,,,,,,,,,,
1997-09-29,,,,,,,,,,
1997-09-30,,,,,,,,,,
1997-10-01,,,,,,,,,,
1997-10-02,,,,,,,,,,
1997-10-03,0.9011831,,,,,,,,,
1997-10-04,0.47975484,,,,,,,,,
1997-10-05,0.76901186,,,,,,,,,
1997-10-06,,,,,,,,,,
1997-10-07,0.5909229,,,,,,,,,
1997-10-08,,,,,,,,,,
1997-10-09,,,,,,,,,,
1997-10-10,0.73079765,,,,,,,,,
1997-10-11,,,,,,,,,,
1997-10-12,0.6900824,,,,,,,,,
1997-10-13,,,,,,,,,,
1997-10-14,,,,,,,,,,
1997-10-15,,,,,,,,,,
1997-10-16,,,,,,,,,,
1997-10-17,,,,,,,,,,
1997-10-18,,,,,,,,,,
1997-10-19,,,,,,,,,,
1997-10-20,,,,,,,,,,
1997-10-21,0.52382827,,,,,,,,,
1997-10-22,,,,,,,,,,
1997-10-23,,,,,,,,,,
1997-10-24,,,,,,,,,,
1997-10-25,0.5596031,,,,,,,,,
1997-10-26,0.4381227,,,,,,,,,
1997-10-27,0.37372378,,,,,,,,,
1997-10-28,0.3551267,,,,,,,,,
1997-10-29,,,,,,,,,,
1997-10-30,0.64908254,,,,,,,,,
1997-10-31,,,,,,,,,,
1997-11-01,0.5664675,,,,,,,,,
1997-11-02,,,,,,,,,,
1997-11-03,0.5764754,,,,,,,,,
1997-11-04,,,,,,,,,,
1997-11-05,0.40991408,,,,,,,,,
1997-11-06,0.45350337,,,,,,,,,
1997-11-07,0.735199,,,,,,,,,
1997-11-08,0.47774664,,,,,,,,,
1997-11-09,0.43762305,,,,,,,,,
1997-11-10,0.28373778,,,,,,,,,
1997-11-11,,,,,,,,,,
1997-11-12,,,,,,,,,,
1997-11-13,,,,,,,,,,
1997-11-14,0.25481293,,,,,,,,,
1997-11-15,,,,,,,,,,
1997-11-16,0.46497178,,,,,,,,,
1997-11-17,0.5091127,,,,,,,,,
1997-11-18,0.67158073,,,,,,,,,
1997-11-19,0.39529422,,,,,,,,,
1997-11-20,,,,,,,,,,
1997-11-21,,,,,,,,,,
1997-11-22,,,,,,,,,,
1997-11-23,0.40457425,,,,,,,,,
1997-11-24,,,,,,,,,,
1997-11-25,,,,,,,,,,
