time,CHL,DIATO,DINO,GREEN,HAPTO,MICRO,NANO,PICO,PROCHLO,PROKAR
1997-09-04,,,,,,,,,,
1997-09-05,,,,,,,,,,
1997-09-06,,,,,,,,,,
1997-09-07,,,,,,,,,,
1997-09-08,,,,,,,,,,
1997-09-09,,,,,,,,,,
1997-09-10,,,,,,,,,,
1997-09-11,,,,,,,,,,
1997-09-12,,,,,,,,,,
1997-09-13,,,,,,,,,,
1997-09-14,,,,,,,,,,
1997-09-15,,,,,,,,,,
1997-09-16,0.19820659,,,,,,,,,
1997-09-17,,,,,,,,,,
1997-09-18,,,,,,,,,,
1997-09-19,,,,,,,,,,
1997-09-20,,,,,,,,,,
1997-09-21,,,,,,,,,,
1997-09-22,0.22046712,,,,,,,,,
1997-09-23,0.29438356,,,,,,,,,
1997-09-24,0.32907236,,,,,,,,,
1997-09-25,,,,,,,,,,
1997-09-26,,,,,,,,,,
1997-09-27,,,,,,,,,,
1997-09-28,,,,,,,,,,
1997-09-29,,,,,,,,,,
1997-09-30,,,,,,,,,,
1997-10-01,,,,,,,,,,
1997-10-02,,,,,,,,,,
1997-10-03,0.2897831,,,,,,,,,
1997-10-04,0.2525878,,,,,,,,,
1997-10-05,0.25385696,,,,,,,,,
1997-10-06,,,,,,,,,,
1997-10-07,0.32598165,,,,,,,,,
1997-10-08,,,,,,,,,,
1997-10-09,,,,,,,,,,
1997-10-10,0.52559745,,,,,,,,,
1997-10-11,,,,,,,,,,
1997-10-12,0.3689774,,,,,,,,,
1997-10-13,,,,,,,,,,
1997-10-14,,,,,,,,,,
1997-10-15,,,,,,,,,,
1997-10-16,,,,,,,,,,
1997-10-17,,,,,,,,,,
1997-10-18,,,,,,,,,,
1997-10-19,,,,,,,,,,
1997-10-20,,,,,,,,,,
1997-10-21,0.16593875,,,,,,,,,
1997-10-22,,,,,,,,,,
1997-10-23,,,,,,,,,,
1997-10-24,,,,,,,,,,
1997-10-25,0.20255621,,,,,,,,,
1997-10-26,0.1858147,,,,,,,,,
1997-10-27,0.16816187,,,,,,,,,
1997-10-28,0.18113087,,,,,,,,,
1997-10-29,,,,,,,,,,
1997-10-30,0.25678146,,,,,,,,,
1997-10-31,,,,,,,,,,
1997-11-01,0.19694707,,,,,,,,,
1997-11-02,,,,,,,,,,
1997-11-03,0.2036458,,,,,,,,,
1997-11-04,,,,,,,,,,
1997-11-05,0.20693628,,,,,,,,,
1997-11-06,0.20556688,,,,,,,,,
1997-11-07,0.22904375,,,,,,,,,
1997-11-08,0.2072967,,,,,,,,,
1997-11-09,0.22267278,,,,,,,,,
1997-11-10,0.20025714,,,,,,,,,
1997-11-11,,,,,,,,,,
1997-11-12,,,,,,,,,,
1997-11-13,,,,,,,,,,
1997-11-14,0.22621974,,,,,,,,,
1997-11-15,,,,,,,,,,
1997-11-16,0.20632708,,,,,,,,,
1997-11-17,0.22429796,,,,,,,,,
1997-11-18,0.23385,,,,,,,,,
1997-11-19,0.20115441,,,,,,,,,
1997-11-20,,,,,,,,,,
1997-11-21,,,,,,,,,,
1997-11-22,,,,,,,,,,
1997-11-23,0.20664513,,,,,,,,,
1997-11-24,,,,,,,,,,
1997-11-25,0.14706588,,,,,,,,,
