time,CHL,DIATO,DINO,GREEN,HAPTO,MICRO,NANO,PICO,PROCHLO,PROKAR
1997-09-04,,,,,,,,,,
1997-09-05,,,,,,,,,,
1997-09-06,,,,,,,,,,
1997-09-07,,,,,,,,,,
1997-09-08,,,,,,,,,,
1997-09-09,,,,,,,,,,
1997-09-10,,,,,,,,,,
1997-09-11,,,,,,,,,,
1997-09-12,,,,,,,,,,
1997-09-13,,,,,,,,,,
1997-09-14,,,,,,,,,,
1997-09-15,,,,,,,,,,
1997-09-16,0.46701035,,,,,,,,,
1997-09-17,,,,,,,,,,
1997-09-18,,,,,,,,,,
1997-09-19,,,,,,,,,,
1997-09-20,0.16204363,,,,,,,,,
1997-09-21,,,,,,,,,,
1997-09-22,1.0012481,,,,,,,,,
1997-09-23,0.49490175,,,,,,,,,
1997-09-24,,,,,,,,,,
1997-09-25,,,,,,,,,,
1997-09-26,0.34545437,,,,,,,,,
1997-09-27,,,,,,,,,,
1997-09-28,,,,,,,,,,
1997-09-29,,,,,,,,,,
1997-09-30,,,,,,,,,,
1997-10-01,,,,,,,,,,
1997-10-02,,,,,,,,,,
1997-10-03,1.1612806,,,,,,,,,
1997-10-04,0.6572322,,,,,,,,,
1997-10-05,0.6330932,,,,,,,,,
1997-10-06,,,,,,,,,,
1997-10-07,0.4109943,,,,,,,,,
1997-10-08,0.21134005,,,,,,,,,
1997-10-09,,,,,,,,,,
1997-10-10,,,,,,,,,,
1997-10-11,,,,,,,,,,
1997-10-12,0.5942741,,,,,,,,,
1997-10-13,,,,,,,,,,
1997-10-14,,,,,,,,,,
1997-10-15,,,,,,,,,,
1997-10-16,,,,,,,,,,
1997-10-17,,,,,,,,,,
1997-10-18,,,,,,,,,,
1997-10-19,,,,,,,,,,
1997-10-20,,,,,,,,,,
1997-10-21,0.5244595,,,,,,,,,
1997-10-22,,,,,,,,,,
1997-10-23,,,,,,,,,,
1997-10-24,,,,,,,,,,
1997-10-25,0.74815714,,,,,,,,,
1997-10-26,0.37330338,,,,,,,,,
1997-10-27,,,,,,,,,,
1997-10-28,0.46609202,,,,,,,,,
1997-10-29,,,,,,,,,,
1997-10-30,0.4310638,,,,,,,,,
1997-10-31,,,,,,,,,,
1997-11-01,0.47754207,,,,,,,,,
1997-11-02,,,,,,,,,,
1997-11-03,0.41135398,,,,,,,,,
1997-11-04,,,,,,,,,,
1997-11-05,0.26376796,,,,,,,,,
1997-11-06,0.30130193,,,,,,,,,
1997-11-07,0.45099258,,,,,,,,,
1997-11-08,0.50810623,,,,,,,,,
1997-11-09,0.5825421,,,,,,,,,
1997-11-10,0.4005579,,,,,,,,,
1997-11-11,,,,,,,,,,
1997-11-12,,,,,,,,,,
1997-11-13,,,,,,,,,,
1997-11-14,0.50262344,,,,,,,,,
1997-11-15,,,,,,,,,,
1997-11-16,0.7415246,,,,,,,,,
1997-11-17,0.41258,,,,,,,,,
1997-11-18,0.6829866,,,,,,,,,
1997-11-19,0.72201425,,,,,,,,,
1997-11-20,0.23226482,,,,,,,,,
1997-11-21,,,,,,,,,,
1997-11-22,,,,,,,,,,
1997-11-23,0.4864355,,,,,,,,,
1997-11-24,,,,,,,,,,
1997-11-25,,,,,,,,,,
