time,CHL,DIATO,DINO,GREEN,HAPTO,MICRO,NANO,PICO,PROCHLO,PROKAR
1997-09-04,,,,,,,,,,
1997-09-05,,,,,,,,,,
1997-09-06,,,,,,,,,,
1997-09-07,,,,,,,,,,
1997-09-08,,,,,,,,,,
1997-09-09,,,,,,,,,,
1997-09-10,,,,,,,,,,
1997-09-11,,,,,,,,,,
1997-09-12,,,,,,,,,,
1997-09-13,,,,,,,,,,
1997-09-14,,,,,,,,,,
1997-09-15,,,,,,,,,,
1997-09-16,0.17627482,,,,,,,,,
1997-09-17,,,,,,,,,,
1997-09-18,,,,,,,,,,
1997-09-19,,,,,,,,,,
1997-09-20,0.1531079,,,,,,,,,
1997-09-21,,,,,,,,,,
1997-09-22,0.20662218,,,,,,,,,
1997-09-23,0.16999352,,,,,,,,,
1997-09-24,0.20736738,,,,,,,,,
1997-09-25,,,,,,,,,,
1997-09-26,0.30701098,,,,,,,,,
1997-09-27,,,,,,,,,,
1997-09-28,,,,,,,,,,
1997-09-29,,,,,,,,,,
1997-09-30,,,,,,,,,,
1997-10-01,,,,,,,,,,
1997-10-02,,,,,,,,,,
1997-10-03,0.2403832,,,,,,,,,
1997-10-04,0.29002875,,,,,,,,,
1997-10-05,0.3427512,,,,,,,,,
1997-10-06,,,,,,,,,,
1997-10-07,0.25646335,,,,,,,,,
1997-10-08,0.19867425,,,,,,,,,
1997-10-09,,,,,,,,,,
1997-10-10,0.22999617,,,,,,,,,
1997-10-11,,,,,,,,,,
1997-10-12,0.23189972,,,,,,,,,
1997-10-13,,,,,,,,,,
1997-10-14,,,,,,,,,,
1997-10-15,,,,,,,,,,
1997-10-16,,,,,,,,,,
1997-10-17,,,,,,,,,,
1997-10-18,,,,,,,,,,
1997-10-19,,,,,,,,,,
1997-10-20,,,,,,,,,,
1997-10-21,0.16790429,,,,,,,,,
1997-10-22,,,,,,,,,,
1997-10-23,,,,,,,,,,
1997-10-24,,,,,,,,,,
1997-10-25,0.1605097,,,,,,,,,
1997-10-26,0.16264847,,,,,,,,,
1997-10-27,,,,,,,,,,
1997-10-28,0.16384612,,,,,,,,,
1997-10-29,0.14166741,,,,,,,,,
1997-10-30,0.194025,,,,,,,,,
1997-10-31,,,,,,,,,,
1997-11-01,0.19496417,,,,,,,,,
1997-11-02,,,,,,,,,,
1997-11-03,0.25622138,,,,,,,,,
1997-11-04,,,,,,,,,,
1997-11-05,0.2444351,,,,,,,,,
1997-11-06,0.19788975,,,,,,,,,
1997-11-07,0.23224692,,,,,,,,,
1997-11-08,0.17401956,,,,,,,,,
1997-11-09,0.23896943,,,,,,,,,
1997-11-10,0.16947833,,,,,,,,,
1997-11-11,,,,,,,,,,
1997-11-12,,,,,,,,,,
1997-11-13,,,,,,,,,,
1997-11-14,0.17283183,,,,,,,,,
1997-11-15,,,,,,,,,,
1997-11-16,0.180348,,,,,,,,,
1997-11-17,0.19204329,,,,,,,,,
1997-11-18,0.19789983,,,,,,,,,
1997-11-19,0.17594108,,,,,,,,,
1997-11-20,0.1922631,,,,,,,,,
1997-11-21,,,,,,,,,,
1997-11-22,,,,,,,,,,
1997-11-23,0.38110283,,,,,,,,,
1997-11-24,,,,,,,,,,
1997-11-25,,,,,,,,,,
