Header,Value
Agency Name,National Aeronautics and Space Administration
Agency Code,NASA
Program,Moderate Resolution Imaging Spectroradiometer (MODIS)
Project,Cockburn Sound Model Virtual Sensor
Tag,NASA-MODIS-PAR
Data File Name,MODIS_point_8_PhotosyntheticallyAvailableRadiation_profile_Data.csv
Location,data-warehouse/csv/NASA/modis/par
Station Status,Active
Lat,-32.188
Long,115.521
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,NASA-modis-par-Point_8
Site Description,Point 8
Deployment,Floating
Deployment Position,m from surface
Vertical Reference,Water Surface
Site Mean Depth,
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00059
Data Category,Light
Sampling Rate (min),
Date,yyyy-mm-dd HH:MM:SS
Depth,Decimal
Variable,Photosynthetically Available Radiation
QC,NaN
